id,latitude,longitude,marked_date
101,19.49062459,74.09378037,2019-02-09 19:36:59.395956
102,19.49004076,74.08839929,2019-02-09 19:41:49.591370
103,19.48971711,74.08746588,2019-02-09 19:41:49.688375
104,19.48957046,74.08954727,2019-02-09 19:41:49.771949
105,19.4925851,74.08270671,2019-02-09 19:42:24.368173
106,19.49320711,74.08277645,2019-02-09 19:42:24.466766
107,19.49154843,74.08492222,2019-02-09 19:42:24.548779
108,19.11312043,74.67449801,2019-02-10 14:51:45.953104
109,19.11420513,74.67493789,2019-02-10 14:51:46.045546
110,19.11590312,74.67582838,2019-02-10 14:51:46.163019
111,19.11444842,74.67654185,2019-02-10 14:51:46.229394
112,19.10101641,74.66808534,2019-02-10 14:54:36.914704
113,19.10360161,74.66976977,2019-02-10 14:54:36.996757
114,19.10258781,74.67105723,2019-02-10 14:54:37.062368
115,19.1020505,74.66904021,2019-02-10 14:54:37.120548
116,19.09409213,74.64576129,2019-02-10 14:57:04.899468
117,19.91976426,73.91863052,2019-02-10 15:05:42.331805
118,19.92906474,73.94319115,2019-02-10 15:12:06.959321
119,19.92046396,73.9499176,2019-02-10 15:14:27.487035
120,19.90179382,73.93311486,2019-02-10 15:16:19.180987
121,19.88990738,73.92892905,2019-02-10 15:17:48.748084
122,19.83456302,73.8638326,2019-02-10 15:19:45.734318
123,19.97020529,73.7265787,2019-02-10 15:25:27.122531
124,19.97164762,73.70570052,2019-02-10 15:27:16.811071
125,19.96794387,73.70263724,2019-02-10 15:28:17.947140
126,19.95926737,73.69229287,2019-02-10 15:29:23.330369
127,20.033219,73.70852251,2019-02-10 15:31:10.662137
128,20.06112283,73.70866283,2019-02-10 15:32:56.537057
129,20.01715603,73.87410398,2019-02-10 15:45:11.875117
130,20.02877409,73.7317509,2019-02-10 15:49:30.471171
131,20.01716107,73.87412477,2019-02-10 15:53:05.230216
132,20.01716107,73.87412477,2019-02-10 15:53:37.957322
133,20.02878417,73.73182533,2019-02-10 15:53:38.033851
134,19.96169846,73.87200451,2019-02-10 15:58:00.270267
135,19.98395354,73.8972065,2019-02-10 16:02:23.142195
136,19.90540541,73.87105533,2019-02-10 16:05:53.530079
137,19.88698722,73.87075915,2019-02-10 16:07:10.907110
138,19.83641986,73.78999769,2019-02-10 16:12:01.233091
139,19.81789684,73.77334208,2019-02-10 16:19:22.347291
140,19.81821983,73.77421648,2019-02-10 16:19:22.460882
141,19.80484286,73.76470341,2019-02-10 16:20:56.628004
142,20.155927,73.74095165,2019-02-10 16:22:24.156891
143,19.79859109,73.7696097,2019-02-10 16:23:13.049142
144,20.15369161,73.73585584,2019-02-10 16:23:18.458069
145,20.1524485,73.7295522,2019-02-10 16:24:15.998339
146,20.16462983,73.73207065,2019-02-10 16:25:39.909924
147,19.77697081,73.81620964,2019-02-10 16:26:28.388257
148,20.17069815,73.72835048,2019-02-10 16:28:58.931326
149,20.17188147,73.72855433,2019-02-10 16:28:59.001651
150,19.82122758,73.86539978,2019-02-10 16:29:31.433116
151,19.82122758,73.86539978,2019-02-10 16:30:02.124958
152,19.87357436,73.8722586,2019-02-10 16:31:38.524066
153,20.17782507,73.72321892,2019-02-10 16:31:39.435113
154,20.18378188,73.7370326,2019-02-10 16:32:42.347682
155,20.18352509,73.73747785,2019-02-10 16:32:42.461451
156,20.18243249,73.73872776,2019-02-10 16:32:42.527985
157,20.20084334,73.73806292,2019-02-10 16:34:35.574162
158,20.2088554,73.78755528,2019-02-10 16:35:36.730442
159,20.20958535,73.78503937,2019-02-10 16:35:36.836991
160,20.78489791,77.02851502,2019-02-10 21:05:12.024723
161,20.78406254,77.024154,2019-02-10 21:06:26.578995
162,20.78296919,77.02518397,2019-02-10 21:06:26.657639
163,20.78795942,77.01881576,2019-02-10 21:07:14.733657
164,20.78706169,77.01863337,2019-02-10 21:07:14.831469
165,20.78603858,77.01938439,2019-02-10 21:07:14.898130
166,20.77977905,77.03090709,2019-02-10 21:09:52.693698
